docking_score,smile
-5.2,COc1ccccc1NC(=O)[C@@H]1[C@@H](C=C(Cl)Cl)C1(C)C
-5.2,CCCn1c(O)c(C(=O)OCC)c(=O)c2ccccc21
-5.7,O=C(c1ccc([N+](=O)[O-])cc1)N1CCOC12CCCCC2
-6.2,CC(=O)Oc1cccc(N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)c1
-5.7,Cc1nn(-c2ccccc2)c2sc(C(=O)n3cccn3)cc12
-6.1,Cc1ccc(/C=C/2\OC(=O)c3ccccc23)cc1
-6.1,CC1(c2ccccc2)C(=O)c2ccccc2C1=O
-6.5,Cc1ccc(NCN2C(=O)c3ccccc3C2=O)cc1[N+](=O)[O-]
-3.2,CSc1sc(SC)c(Br)c1Br
-5.3,CCOC(=O)C1=C(N)Oc2[nH]nc(C)c2[C@H]1c1ccc(C)cc1C
-6.7,Cc1ccccc1NC(=O)c1cc(C(=O)Nc2ccccc2C)n(C)n1
-6.4,O=C(CN1C(=O)c2ccccc2C1=O)Nc1cccc(F)c1
-6.3,CN(C)c1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1
-5.9,Cc1cc(C)cc(OCC(=O)Nc2cccc(F)c2)c1
-5.4,CCOC(=O)C1=C(C)NC(=O)N(C(C)=O)[C@@H]1c1ccccc1F
-6.2,O=C(Nc1ccn([C@H]2CC[C@H](CO)O2)c(=O)n1)c1ccccc1
-6.7,Cc1ccc(N2C[C@H](O)Cn3c4c(nc32)n(C)c(=O)[nH]c4=O)cc1
-6.7,CC1(C)C[C@H](c2nc(c3ccc([N+](=O)[O-])cc3)cs2)CCO1
-5.0,CN(Cc1ccccc1)Cc1cccnc1
-5.3,O=C(O)[C@H](CC(=O)c1ccc(Cl)cc1)NC1CCCCC1
-5.8,COC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(C(C)C)cc1
-5.0,CCOC(=O)c1sc(NC(=O)C(C)(C)C)c(C(=O)OCC)c1C
-5.0,COc1ccc(CN2CCC(O)CC2)c(OC)c1
-6.4,O=C(Cc1ccccc1[N+](=O)[O-])Oc1cc(=O)oc2ccccc12
-7.1,O=C(Nc1cccc([N+](=O)[O-])c1)[C@H]1CC(=O)N(c2ccc(F)cc2)C1
-6.2,COc1ccc(C(=O)Nc2nnc(c3ccc(C)cc3)s2)cc1
-5.9,COc1ccc(C(=O)Nc2cc(C)cc(C)c2)cc1OC
-5.3,O=C(NC1CCCCCCC1)c1ccncc1
-5.9,O=C(Nc1ccc(Br)cn1)c1c[nH]c2ccccc2c1=O
-5.2,O=C(Nc1c(Cl)cccc1Cl)N1CCNC1=O
-5.4,CCOC(=O)C1=C(C)OC(N)=C(C(=O)OCC)[C@H]1c1cccnc1
-5.2,N[C@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O
-5.6,COC(=O)COc1cc(C)cc2oc(=O)c3c(c12)CCCC3
-6.0,CC1=C(C(=O)OC2CCCC2)[C@H](c2ccccc2Cl)NC(=O)N1
-5.7,CCOc1ccccc1C(=O)Nc1cc(C)ccc1C
-5.8,CCCn1c(SCc2ccc(C)cc2)nc2c1c(=O)[nH]c(=O)n2C
-6.0,CC[C@H](C)[C@H](NCc1c(O)ccc2c(C)cc(=O)oc21)C(=O)O
-6.3,Cc1ccc(NC(=O)[C@@H](C)N2C(=O)c3ccccc3C2=O)cc1
-6.7,Cc1ccc(NC(=O)[C@H]2CC(=O)N(c3ccc(F)cc3)C2)cc1
-6.6,Cc1ccc(N2C[C@H](C(=O)Nc3cccc([N+](=O)[O-])c3)CC2=O)cc1
-6.1,COC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(OC)cc2ccccc21
-6.1,CC(CC(=O)c1ccccc1)CC(=O)c1ccccc1
-6.3,COC(=O)c1ccc(NC(=O)c2c(C)cc(C)cc2C)cc1
-6.0,Cc1ccc(OCC(=O)NCCc2ccccc2)cc1C
-6.2,Cc1ccc(NC(=O)COc2ccc(C)c(C)c2)cc1C
-5.0,COc1ccccc1[C@H]1NC(=O)NC(C)=C1C(=O)OCCC(C)C
-6.6,O=C1C[C@@H](c2ccccc2)c2c(ccc3ccccc23)N1
-5.5,COC(=O)COc1ccc2c(-c3ccccc3)cc(=O)oc2c1C
-5.3,CCOC(=O)c1c2cc(OCC(=O)O)ccc2oc1c1ccccc1
-6.1,Cc1ccc(N2C[C@H](C(=O)Nc3c(C)cccc3Cl)CC2=O)cc1
-5.7,CCOc1ccccc1NC(=O)[C@H]1CC(=O)N(c2ccc(F)cc2)C1
-6.1,CC(C)[C@H](NCc1c(O)ccc2c3ccccc3c(=O)oc21)C(=O)O
-6.2,Cc1cccc(C)c1NC(=O)[C@H]1CC(=O)N(c2ccccc2)C1
-6.2,CCOc1ccc(C(=O)C[C@@H](Sc2ccc(C)cc2)C(=O)O)cc1
-6.1,CC(C)(C)c1ccc(C(=O)C[C@H](NCc2ccco2)C(=O)O)cc1
-5.9,CN(C)Cc1c(O)ccc2cc(-c3nc4ccccc4n3C)c(=O)oc21
-6.0,O=C(NC1CCCCC1)/C(=C\c1ccco1)NC(=O)c1ccccc1
-5.5,CN(C)c1ccc([C@@H](c2cc3c(cc2O)OCO3)N2CCCC2)cc1
-5.6,COc1ccc(C)cc1N1CCCN(c2cc(C)ccc2OC)C1=O
-6.0,CC[C@@H]1CCCCN1Cc1c(O)ccc2c3ccccc3c(=O)oc12
-6.1,CCc1ccc(NC(=O)[C@H]2CC(=O)N(c3ccc(CC)cc3)C2)cc1
-5.9,CCc1ccc(N2C[C@H](C(=O)Nc3cc(C)ccc3C)CC2=O)cc1
-6.0,CC(C)c1oc2cc(O)ccc2c(=O)c1c1nc2ccccc2n1C
-6.2,Cc1cc(C)cc(OC(=O)[C@H](C)N2C(=O)c3ccccc3C2=O)c1
-4.7,CCOC(=O)c1sc(NC(=O)C(C)C)c(C(=O)OCC)c1C
-5.5,CC(C)NC(=O)N[C@@]1(C(F)(F)F)Oc2ccc(Cl)cc2O1
-6.4,COc1ccc(C(=O)C[C@]2(O)C(=O)Nc3ccccc32)cc1OC
-5.8,Cc1ccc2nc(Nc3ccccc3)c(C=O)c(=O)n2c1
-5.5,CCOC(=O)[C@@H](C)Oc1ccc2oc(=O)cc(C)c2c1
-5.5,CCOC(=O)[C@H](C)Oc1ccc2oc(=O)cc(C)c2c1
-5.8,O=[N+]([O-])/C(=C\Sc1ccccn1)c1ccccc1
-7.2,Cn1c2ccccc2nc1-c1nonc1NC(=O)c1ccc(F)cc1
-5.4,COC(=O)c1ccccc1NC(=O)c1ccoc1C
-5.8,CN1CCN(C(=O)c2ccccc2NC(=O)c2ccc(F)cc2)CC1
-6.5,CC1CCN(C(=O)/C=C/c2cccc3ccccc23)CC1
-5.5,Cc1ccccc1NC(=O)c1c(F)cccc1F
-6.0,CC(=O)c1cccc(NC(=S)Nc2ccc(F)cc2)c1
-5.9,Cc1ccc(OCC(=O)Nc2cc(Cl)c(Cl)cc2Cl)cc1
-5.8,CCOC(=O)[C@@H](C)Oc1cc2oc(=O)c(Cl)c(C)c2cc1Cl
-6.4,O=C1C=C(Nc2ccc(Cl)cc2)C(=O)N1c1ccccc1
-6.7,COc1ccc(NC(=O)CSc2nnnn2-c2ccccc2)cc1
-5.6,CCC[C@H]1Oc2ccccc2[C@@H]2CC(=NN12)c1ccccc1
-6.6,O=C(NCc1cccnc1)c1ccc(COc2ccc3c(c2)CCC3)o1
-5.1,O=C(NC[C@@H]1CCCO1)NC1CCCCC1
-5.8,COc1ccccc1N1CCN(C(=O)c2ccccc2C)CC1
-5.5,COc1ccc(NS(=O)(=O)Cc2ccccc2)c(OC)c1
-5.4,CCOC(=O)[C@@H]1Cc2c3ccccc3[nH]c2[C@@H](C)N1C(C)=O
-6.1,O=C(O)c1cccc(N2Cc3ccc(Br)cc3C2)c1
-6.5,CCOC(=O)Nc1ccc(c2nc3ccc(C)cc3s2)cc1
-6.2,CC(=O)Nc1ccc(NC(=O)COc2cccc(C)c2)cc1
-5.7,O=c1/c(=C/c2ccccc2)sc2nc3ccccc3n12
-5.6,O=C1OC(c2ccccc2)=N/C1=C/c1ccco1
-5.8,CCc1ccc(NCCC(=O)c2ccc(C)o2)cc1
-5.5,O=C(CC(=O)c1ccccc1)Nc1ccc(Cl)cc1
-5.0,CCOC(=O)c1c(C)c(C(C)=O)sc1NC(=O)CC
-6.3,O=C(/C=C/c1cccc([N+](=O)[O-])c1)N1CCOCC1
-5.4,CC(C)(C)CC(C)(C)c1ccc(OCC(=O)Nc2nccs2)cc1
-5.7,Cc1ccc(NC(=O)COc2cccc(C)c2)cc1
-5.8,CC(=O)Oc1ccc2c(c1)oc(=O)c1ccccc21
-6.4,O=C1Nc2ccccc2[C@]12CC(c1ccccc1)=NN2
-6.8,O=C1Nc2ccc(F)cc2[C@]12CC(c1ccccc1)=NN2
-7.0,c1ccc(Nc2nc3nonc3nc2Nc2ccccc2)cc1
-5.8,CCOC(=O)c1ccccc1NC(=O)COc1ccc(C(C)C)cc1
-6.4,COc1ccc(OCC(=O)Nc2ccc(N3CCOCC3)cc2)cc1
-5.3,C[C@H](NC(=O)c1ccccc1Br)c1ccccc1
-6.0,O=[N+]([O-])c1cccc(NC(=S)Nc2ccccc2)c1
-6.7,Cc1cccc(OCC(=O)N2CC(=O)Nc3ccccc32)c1
-5.4,Cc1occc1C(=O)N1N=C(C)C[C@@]1(O)c1ccccc1
-5.9,COc1ccc(CSc2nnnn2C)cc1F
-6.3,CN(C)c1ccc(NC(=S)N2CCCC[C@@H]2c2cccnc2)cc1
-5.4,Cc1ccc2nc(C3CCCCC3)oc2c1
-5.7,Cc1ccc(C)c(NC(=O)[C@H]2CC[C@](C)(C(=O)O)C2(C)C)c1
-6.2,CC(C)(C)c1ccc(C(=O)C[C@H](NCc2cccs2)C(=O)O)cc1
-5.6,Cc1cn(c2ccc(Cl)cc2)nc1c1ccccc1
-4.9,Cc1c(CCO)sc[n+]1Cc1cnc(C)nc1N
-5.7,CCCN(Cc1ccccc1)C(=O)c1ccc2nc(C)c(C)nc2c1
-5.5,O=C(NCc1cccnc1)[C@@H]1CC1(c1ccccc1)c1ccccc1
-5.8,O=S(=O)(c1cc(Cl)ccc1Cl)n1nnc2ccccc21
-5.3,COc1ccc(S(=O)(=O)n2ccnc2C)cc1OC
-5.0,O=C(NC1CCCCC1)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1
-5.3,Cc1cc(C)n(-c2ccccc2F)c(=O)c1C(N)=O
-6.3,Fc1cccc(Cl)c1c1nnc2ccc(C(F)(F)F)cn12
-6.6,CCOC(=O)c1ccc(N2C(=O)c3cccc4cccc(c34)C2=O)cc1
-6.0,CCOC(=O)c1ccc2c(c1)C(=O)N(c1cccc3ccccc13)C2=O
-6.1,O=C(NC1CCCCC1)[C@@H]1CCCN1C(=O)Oc1ccccc1
-6.3,CC(=O)Oc1ccc2c(c1)nc(-c1ccccc1)oc2=O
-5.3,CCc1nccn1S(=O)(=O)c1ccc(CC)cc1
-5.9,CC(=CCC[C@@]1(C)OC(=O)N(CCc2ccccc2)[C@@]1(C)O)C
-5.2,COc1ccccc1N(CN1C(=O)CCC1=O)C(C)=O
-6.4,Cc1cccc(NCN2C(=O)c3cccc([N+](=O)[O-])c3C2=O)c1
-5.4,COC(=O)[C@H]1CC(=O)N(c2ccc(C)cc2)C1
-5.1,S=c1oc(c2ccccc2Cl)nn1CN1CCCCC1
-5.5,O=C1CCCCC(=O)c2ccccc2N1
-6.1,CCOC(=O)c1cc(C(=O)NCc2ccccc2)c(=O)[nH]c1C
-5.0,C[C@@H](NC(=O)[C@H]1CC1(C)C)c1ccccc1
-5.0,CC(C)NC(=O)COc1ccc(Cl)cc1Cl
-4.9,CC(=O)CS(=O)(=O)c1ccc(Br)cc1
-5.7,Cc1ccc(N2C[C@H](C(=O)NC[C@@H](C)O)CC2=O)cc1
-5.6,COc1cc2c(cc1OC)-c1nnnn1C(C)(C)C2
-5.0,COc1ccc2nc(Cl)c(Cl)nc2c1
-5.6,COC(=O)[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C(C)C
-6.5,O=C1Nc2ccccc2[C@@]1(O)[C@@H]1CCc2ccccc2C1=O
-6.5,O=C1Nc2ccccc2[C@@]1(O)[C@H]1CCc2ccccc2C1=O
-4.8,O=C(Nc1ccc(Br)cn1)c1cccs1
-5.6,CCOC(=O)CC(=O)Nc1ccc(C(=O)OC)cc1
-5.5,O=C1C=C(N(CCO)CCO)C2(CCCCC2)O1
-5.6,COc1ccc([C@@]2(C)CC(=O)NC2=O)cc1
-5.5,COc1ccc(C(=O)Cc2ccccc2)cc1
-5.1,CC(C)(CO)NC(=O)c1ccc(Cl)cc1
-6.8,O=C(COC(=O)c1ccc(Oc2ccc(O)cc2)cc1)c1ccccc1
-6.5,Cc1ccccc1Nc1nc(c2ccc([N+](=O)[O-])cc2)cs1
-5.2,O=C1C[C@H](Sc2ccccc2)[C@@H]2CO[C@H]1O2
-5.7,Cc1ccc(NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1
-6.0,Cc1ccc(NC(=O)[C@@H](C)NC(=O)OCc2ccccc2)cc1C
-6.8,COc1ccc(-c2nnc(-c3ccc(OC)c(OC)c3)o2)cc1OC
-5.0,CC1(C)C[C@@H](NCc2ccccc2)CCO1
-6.1,O=C(O)C1CCN([C@H]2CC(=O)N(c3ccc(F)cc3)C2=O)CC1
-5.9,O=C(O)CCC(=O)c1ccc2ccccc2c1
-6.3,O=C(NCc1ccc2c(c1)OCO2)c1cc(F)c(F)cc1Cl
-5.7,Nc1ccccc1NC(=O)c1ccccc1Cl
-6.3,Cc1cc(NC(=O)CSc2nc3ccccc3[nH]2)no1
-4.7,CCOC(=O)Nc1nnc(C(C)(C)C)s1
-6.4,O=C(Nc1nc(c2ccc(F)cc2)cs1)c1cccnc1
-5.4,O=C(O)[C@@H](Cc1ccccc1)[P@](=O)(O)CN1CCCC1=O
-5.9,CCc1nnc(NC(=O)c2cc3ccccc3o2)s1
-6.5,NC1=NC2=NC(c3ccccc3)=C[C@H](c3ccccc3)N2N1
-5.3,CC(C)(C)C(=O)CON1C(=O)c2ccccc2C1=O
-5.8,O=C(O)[C@H]1CC=CC[C@H]1C(=O)NCc1ccc(Cl)cc1
-5.5,O=C(CSc1nc2ccccc2o1)Nc1nccs1
-5.4,O=C(c1ccccc1)[C@H]1CN2CCC1CC2
-6.3,O=C(CSCC(=O)N1CCCc2ccccc21)Nc1ccccc1
-4.9,CCN(CC)C(=O)Cn1c2ccccc2oc1=O
-5.6,CC(C)n1c2ccccc2nc1-c1nonc1N
-6.2,COc1cc2cccnc2c(NC(=O)c2ccccc2)c1
-5.7,COc1cc2cccnc2c(NC(=O)C2CCCCC2)c1
-6.1,NS(=O)(=O)c1ccc(NC(=O)c2ccc(F)cc2)cc1
-4.9,O=C(c1cccs1)[C@H]1CN2CCC1CC2
-6.5,O=C(O)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1
-5.8,COc1ccc(-n2c(C)nc3ccc(Br)cc3c2=O)cc1
-5.5,CC(C)ON1C(=O)CN(C(=O)Nc2ccccc2)[C@H]1c1ccccc1
-5.2,COC(=O)[C@@H]1CN(c2ccc(Br)cc2)N=C1C(C)=O
-6.2,O=C(c1ccccc1O)N1N=C(C(F)(F)F)C[C@@]1(O)C(F)(F)F
-5.3,CCNC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
-6.8,Cc1cccc(C(=O)Nc2nnc(Cc3ccc(Cl)cc3)s2)c1
-5.8,O=C(c1ccccc1)N1N=C2CCCCC[C@H]2[C@]1(O)C(F)(F)F
-5.7,CCOC(=O)[C@@H](C)Oc1ccc2c(C)cc(=O)oc2c1C(C)=O
-5.4,CC1(C)CC(NCC(=O)OC2CCCCC2)CC(C)(C)N1
-5.4,O=C1N=C(N2CCOCC2)S/C1=C/c1cccc(Cl)c1
-5.3,Cn1nnc(NC(=O)c2ccccc2F)n1
-5.4,CC[C@]1(C)OC(=O)N2CCc3cc(OC)c(OC)cc3[C@@]21C
-5.4,CC(=O)c1oc2ccc3c(C)cc(=O)oc3c2c1C
-5.8,Cc1nn(Cc2ccccc2)c(=S)n(Cc2ccccc2)c1=O
-6.1,CCC(=O)Nc1nnc(COc2ccc(C(C)(C)C)cc2)s1
-6.6,COc1ccc([C@H]2OC(=O)Cc3cc(OC)c(OC)cc32)cc1
-5.0,CCOC(=O)Cn1c(C)cc(C)c([N+](=O)[O-])c1=O
-5.8,COc1ccc(NC(=O)CCN2CCC(C)CC2)cc1
-5.3,COc1ccc(N[C@@H](C)c2ccccc2)cc1
-6.4,COc1ccc(C2(O)C(=O)c3ccccc3C2=O)cc1
-6.5,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccc(F)cc1
-4.8,CSc1c2ccccc2n(C)c1CC(=O)O
-6.4,COc1ccc(NC(=O)[C@@H]2COc3ccccc3O2)cc1
-5.5,CC[C@@H](c1nc2ccccc2n1C)[C@H](O)c1ccccc1
-6.0,O=C(C[C@H]1SCCNC1=O)Nc1ccc(Cl)c(Cl)c1
-4.8,CCCC1=NN(C(=O)OCC)[C@@](O)(C(F)(F)F)C1
-5.9,CC(=O)c1cccc(OCC(=O)N2CCOCC2)c1
-6.4,O=c1nc2n(-c3ccc([N+](=O)[O-])cc3)c3ccccc3cc-2c(=O)[nH]1
-5.6,Cc1cc(C)n(c2nc(c3ccc(Br)cc3)cs2)n1
-5.1,CCOC(=O)N1CCN(C(=S)NC(=O)c2ccco2)CC1
-5.9,O=C(C[C@H]1SCCNC1=O)Nc1ccc(Cl)cc1
-5.8,Cc1onc(-c2ccccc2Cl)c1C(=O)N1CCC(C(N)=O)CC1
-5.8,CC(C)CNC(=O)c1cccc(NC(=O)CC(C)C)c1
-5.9,Cc1ccc(S(=O)(=O)N(C)C2CC(C)(C)N(C)C(C)(C)C2)cc1
-5.5,Cc1cn(C(=O)c2ccc(Cl)cc2Cl)c(C)n1
-5.6,O=C(Nc1ccccc1Cl)Nc1cccnc1Cl
-5.5,Cc1cc(Cl)nc(Cl)c1NC(=O)Nc1ccccc1
-5.6,O=C(O)c1ccc(Cl)cc1NC(=O)CSCc1ccccc1
-5.5,COC(=O)c1ccc(NC(=O)[C@@H]2[C@H](C=C(Cl)Cl)C2(C)C)cc1
-6.0,COC(=O)c1ccc(NC(=O)[C@@H]2[C@@H](C=C(Cl)Cl)C2(C)C)cc1
-5.4,CCOC(=O)c1c(C)c(C)sc1NC(=O)CSc1ccccc1
-5.6,Cc1c([C@@H](C)O)oc2ccc3c(C)cc(=O)oc3c12
-6.6,Cc1cc(S(=O)(=O)n2nnc3cc(Cl)ccc32)ccc1Cl
-5.7,Cc1cc(S(=O)(=O)NCc2cccnc2)c(Cl)cc1Cl
-6.6,COc1ccc2cc(S(=O)(=O)n3nnc4ccccc43)ccc2c1
-5.7,COc1ccc(S(=O)(=O)n2c(C)ncc2[N+](=O)[O-])cc1OC
-5.4,Cc1cc(C)c(c2nnc(c3ccco3)o2)c(C)c1
-5.9,COc1cccc(Oc2nc(N)[nH]c(=O)c2Br)c1
-6.2,Cc1nn(CC(=O)Nc2ccc(O)cc2)c(=O)c2ccccc12
-6.0,CC1(C)C(=O)C2(CCCCC2)C(=O)O[C@@H]1c1ccccc1
-5.1,CCOc1ccccc1C(=O)n1cc(Cl)cn1
-6.2,COC(=O)c1ccc(NC(=O)C[C@H]2SCCNC2=O)cc1
-5.7,O=C(Nc1ccccc1)N(O)[C@@H](C[N+](=O)[O-])c1ccco1
-5.5,O=C(C[C@@](O)(c1ccccc1)C(F)(F)F)c1cccs1
-5.9,CSc1ccc(S(=O)(=O)NCCc2ccc(Cl)cc2)cc1
-5.8,Cc1nc2ccccc2c2c1C(=O)N(CC(=O)O)C2=O
-5.9,S=c1ccc(c2ccc(Cl)cc2)nn1c1ccccc1
-6.6,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(F)cc1
-6.2,Nc1c(C(=O)NCc2ccccc2)nnn1Cc1ccccc1
-5.6,O=C(c1ccc(F)c(F)c1)n1cncn1
-5.7,Cc1nnc(SCC(=O)c2ccc(Cl)cc2)s1
-5.9,CC(C)(C)c1ccc(C(=O)Oc2ccc(C=O)cc2)cc1
-4.8,CCOC(=O)Cc1ccccc1C(=O)OC
-6.5,Cc1cccc(N2C(=O)NC(=O)/C(=C\c3c[nH]c4ccccc34)C2=O)c1
